1870_line,1880_line,score,confidence
18423,9108,300,3
9427,3426,300,3
11846,29825,300,3
13259,1597,300,3
16141,1915,300,3
16888,24992,300,3
17806,4953,300,3
22523,6866,300,2
21469,10263,300,3
3651,23382,300,3
824,29137,300,3
3995,21104,300,3
6724,26288,300,3
12702,917,300,2
22476,8558,300,3
747,16771,300,3
952,15471,300,1
5791,28095,300,3
1913,24039,300,3
3335,14438,300,3
18280,25851,300,3
14786,6366,300,3
5869,18622,300,1
9234,29058,300,3
4697,11784,300,3
16557,1652,300,3
14034,1826,300,3
6021,27327,300,3
7943,18193,300,3
18096,4272,300,3
7699,19024,300,3
18732,3577,300,3
12125,24433,300,0
1912,24038,300,3
4694,11783,300,3
5831,18632,300,3
2209,20382,300,3
15054,6110,300,3
3055,20615,300,0
14049,2850,300,1
2101,31284,300,3
2762,21296,300,3
11063,26845,300,3
